/usr/local/lib/python3.10/dist-packages/lerobot/policies/vqbet/vqbet_utils.py:1373: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  @autocast(enabled=False)
Loading VQ-BeT from lerobot/vqbet_pusht (manual config patch)...
number of parameters: 26.00M
  Loaded: 37,515,530 params on cuda
/usr/local/lib/python3.10/dist-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
  Sanity check action: [0.04 0.81]
  Action range: [0.0, 0.8]
  Actions appear NORMALIZED [-1,1]
  Action unnorm: min=[12. 25.], max=[511. 511.]
  State norm: min=[13.5 32.9], max=[496.1 511. ]

==================================================
  no_contract (200 episodes)
==================================================
  Ep 179: OK | cov=0.951 | steps=248 | viol=  0 | 1.0s
  Ep 180: -- | cov=0.945 | steps=300 | viol=  0 | 1.2s
  Ep 181: OK | cov=0.954 | steps=222 | viol=  0 | 0.9s
  Ep 182: -- | cov=0.949 | steps=300 | viol=  0 | 1.2s
  Ep 183: OK | cov=0.954 | steps=118 | viol=  0 | 0.5s
  Ep 184: -- | cov=0.010 | steps=300 | viol=  0 | 1.2s
  Ep 185: OK | cov=0.964 | steps=112 | viol=  0 | 0.5s
  Ep 186: -- | cov=0.133 | steps=300 | viol=  0 | 1.2s
  Ep 187: OK | cov=0.957 | steps=210 | viol=  0 | 0.8s
  Ep 188: OK | cov=0.965 | steps=169 | viol=  0 | 0.7s
  Ep 189: OK | cov=0.950 | steps=244 | viol=  0 | 1.0s
  Ep 190: -- | cov=0.190 | steps=300 | viol=  0 | 1.2s
  Ep 191: OK | cov=0.950 | steps= 94 | viol=  0 | 0.4s
  Ep 192: OK | cov=0.951 | steps=183 | viol=  0 | 0.7s
  Ep 193: OK | cov=0.958 | steps=241 | viol=  0 | 1.0s
  Ep 194: -- | cov=0.339 | steps=300 | viol=  0 | 1.2s
  Ep 195: OK | cov=0.976 | steps=200 | viol=  0 | 0.8s
  Ep 196: OK | cov=0.967 | steps=197 | viol=  0 | 0.8s
  Ep 197: OK | cov=0.964 | steps= 86 | viol=  0 | 0.3s
  Ep 198: -- | cov=0.948 | steps=300 | viol=  0 | 1.2s
  Ep 199: OK | cov=0.956 | steps=161 | viol=  0 | 0.6s

==================================================
  with_contract (200 episodes)
==================================================
  Ep  0: -- | cov=0.549 | steps=300 | viol= 10 | 1.2s
  Ep  1: -- | cov=0.671 | steps=300 | viol=  5 | 1.2s
  Ep  2: -- | cov=0.939 | steps=300 | viol= 26 | 1.2s
  Ep  3: -- | cov=0.945 | steps=300 | viol=  7 | 1.2s
  Ep  4: -- | cov=0.950 | steps=300 | viol= 13 | 1.2s
  Ep  5: OK | cov=0.953 | steps=120 | viol=  4 | 0.5s
  Ep  6: OK | cov=0.969 | steps=110 | viol=  0 | 0.4s
  Ep  7: OK | cov=0.951 | steps=140 | viol=  2 | 0.6s
  Ep  8: -- | cov=0.949 | steps=300 | viol= 20 | 1.2s
  Ep  9: OK | cov=0.976 | steps=292 | viol= 12 | 1.2s
  Ep 10: OK | cov=0.957 | steps=264 | viol=  3 | 1.1s
  Ep 11: OK | cov=0.961 | steps=246 | viol=  5 | 1.0s
  Ep 12: -- | cov=0.661 | steps=300 | viol=  8 | 1.2s
  Ep 13: -- | cov=0.884 | steps=300 | viol=  9 | 1.2s
  Ep 14: OK | cov=0.951 | steps= 60 | viol=  0 | 0.2s
  Ep 15: -- | cov=0.313 | steps=300 | viol= 48 | 1.2s
  Ep 16: OK | cov=0.954 | steps=191 | viol=  0 | 0.8s
  Ep 17: -- | cov=0.924 | steps=300 | viol= 14 | 1.2s
  Ep 18: OK | cov=0.956 | steps=111 | viol=  1 | 0.4s
  Ep 19: OK | cov=0.957 | steps=180 | viol=  5 | 0.7s
  Ep 20: -- | cov=0.257 | steps=300 | viol=  3 | 1.2s
  Ep 21: OK | cov=0.962 | steps=143 | viol=  3 | 0.6s
  Ep 22: -- | cov=0.000 | steps=300 | viol=  9 | 1.2s
  Ep 23: -- | cov=0.944 | steps=300 | viol= 15 | 1.2s
  Ep 24: OK | cov=0.953 | steps= 49 | viol=  0 | 0.2s
  Ep 25: -- | cov=0.007 | steps=300 | viol=  2 | 1.2s
  Ep 26: -- | cov=0.950 | steps=300 | viol= 18 | 1.2s
  Ep 27: OK | cov=0.955 | steps=234 | viol= 12 | 0.9s
  Ep 28: OK | cov=0.968 | steps=227 | viol=  9 | 0.9s
  Ep 29: OK | cov=0.963 | steps=161 | viol=  1 | 0.7s
  Ep 30: -- | cov=0.135 | steps=300 | viol=  2 | 1.2s
  Ep 31: -- | cov=0.516 | steps=300 | viol=  1 | 1.2s
  Ep 32: -- | cov=0.932 | steps=300 | viol= 20 | 1.2s
  Ep 33: OK | cov=0.951 | steps=169 | viol=  5 | 0.7s
  Ep 34: OK | cov=0.958 | steps=130 | viol=  1 | 0.5s
  Ep 35: -- | cov=0.605 | steps=300 | viol= 11 | 1.2s
  Ep 36: OK | cov=0.961 | steps=151 | viol=  6 | 0.6s
  Ep 37: -- | cov=0.535 | steps=300 | viol=  8 | 1.2s
  Ep 38: -- | cov=0.435 | steps=300 | viol= 46 | 1.2s
  Ep 39: OK | cov=0.950 | steps= 91 | viol=  1 | 0.4s
  Ep 40: OK | cov=0.969 | steps=151 | viol=  1 | 0.6s
  Ep 41: -- | cov=0.948 | steps=300 | viol= 12 | 1.2s
  Ep 42: -- | cov=0.162 | steps=300 | viol= 38 | 1.2s
  Ep 43: -- | cov=0.673 | steps=300 | viol=  9 | 1.2s
  Ep 44: OK | cov=0.968 | steps=191 | viol=  4 | 0.8s
  Ep 45: -- | cov=0.510 | steps=300 | viol=  0 | 1.2s
  Ep 46: -- | cov=0.435 | steps=300 | viol=  5 | 1.2s
  Ep 47: -- | cov=0.923 | steps=300 | viol= 26 | 1.2s
  Ep 48: OK | cov=0.958 | steps=240 | viol= 16 | 1.0s
  Ep 49: OK | cov=0.957 | steps=169 | viol=  3 | 0.7s
  Ep 50: OK | cov=0.950 | steps=252 | viol= 21 | 1.0s
  Ep 51: -- | cov=0.666 | steps=300 | viol=  6 | 1.2s
  Ep 52: -- | cov=0.382 | steps=300 | viol=  6 | 1.2s
  Ep 53: OK | cov=0.950 | steps=176 | viol=  4 | 0.7s
  Ep 54: OK | cov=0.952 | steps=226 | viol= 10 | 0.9s
  Ep 55: -- | cov=0.514 | steps=300 | viol=  0 | 1.2s
  Ep 56: OK | cov=0.950 | steps=223 | viol= 11 | 0.9s
  Ep 57: -- | cov=0.837 | steps=300 | viol=  6 | 1.2s
