Loading Diffusion Policy from lerobot/diffusion_pusht...
WARNING:root:Unexpected key(s) when loading model: ['normalize_inputs.buffer_observation_image.mean', 'normalize_inputs.buffer_observation_image.std', 'normalize_inputs.buffer_observation_state.max', 'normalize_inputs.buffer_observation_state.min', 'normalize_targets.buffer_action.max', 'normalize_targets.buffer_action.min', 'unnormalize_outputs.buffer_action.max', 'unnormalize_outputs.buffer_action.min']
  Loaded: 262,709,026 params on cuda
/usr/local/lib/python3.10/dist-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
  Sanity: action=[0.81 1.  ], range=[0.8, 1.0]
  NORMALIZED
  Action unnorm: min=[12. 25.], max=[511. 511.]
  State norm: min=[13.5 32.9], max=[496.1 511. ]

==================================================
  no_contract (200 episodes)
==================================================
  Ep 125: OK | cov=0.959 | viol=  0 | 9.1s
  Ep 126: -- | cov=0.901 | viol=  0 | 33.1s
  Ep 127: OK | cov=0.960 | viol=  0 | 11.2s
  Ep 128: -- | cov=0.946 | viol=  0 | 33.9s
  Ep 129: OK | cov=0.956 | viol=  0 | 18.0s
  Ep 130: OK | cov=0.953 | viol=  0 | 23.8s
  Ep 131: OK | cov=0.957 | viol=  0 | 25.1s
  Ep 132: OK | cov=0.969 | viol=  0 | 20.8s
  Ep 133: OK | cov=0.951 | viol=  0 | 11.3s
  Ep 134: -- | cov=0.929 | viol=  0 | 32.6s
  Ep 135: OK | cov=0.951 | viol=  0 | 22.4s
  Ep 136: OK | cov=0.953 | viol=  0 | 14.9s
  Ep 137: OK | cov=0.951 | viol=  0 | 11.1s
  Ep 138: OK | cov=0.953 | viol=  0 | 28.3s
  Ep 139: OK | cov=0.955 | viol=  0 | 18.3s
  Ep 140: OK | cov=0.952 | viol=  0 | 11.6s
  Ep 141: OK | cov=0.950 | viol=  0 | 8.3s
  Ep 142: OK | cov=0.959 | viol=  0 | 21.0s
  Ep 143: OK | cov=0.955 | viol=  0 | 12.4s
  Ep 144: OK | cov=0.967 | viol=  0 | 12.1s
  Ep 145: OK | cov=0.969 | viol=  0 | 31.6s
  Ep 146: OK | cov=0.956 | viol=  0 | 16.7s
  Ep 147: -- | cov=0.935 | viol=  0 | 32.4s
  Ep 148: -- | cov=0.926 | viol=  0 | 32.2s
  Ep 149: OK | cov=0.952 | viol=  0 | 30.7s
  Ep 150: OK | cov=0.957 | viol=  0 | 13.0s
  Ep 151: OK | cov=0.956 | viol=  0 | 18.0s
  Ep 152: OK | cov=0.951 | viol=  0 | 19.5s
  Ep 153: OK | cov=0.952 | viol=  0 | 29.1s
  Ep 154: -- | cov=0.489 | viol=  0 | 31.1s
  Ep 155: -- | cov=0.949 | viol=  0 | 32.9s
  Ep 156: -- | cov=0.666 | viol=  0 | 32.4s
  Ep 157: OK | cov=0.977 | viol=  0 | 13.9s
  Ep 158: OK | cov=0.966 | viol=  0 | 14.2s
  Ep 159: OK | cov=0.953 | viol=  0 | 19.4s
  Ep 160: OK | cov=0.950 | viol=  0 | 23.0s
  Ep 161: -- | cov=0.666 | viol=  0 | 33.3s
  Ep 162: OK | cov=0.958 | viol=  0 | 20.5s
  Ep 163: -- | cov=0.949 | viol=  0 | 31.9s
  Ep 164: -- | cov=0.885 | viol=  0 | 33.0s
  Ep 165: -- | cov=0.739 | viol=  0 | 32.6s
  Ep 166: OK | cov=0.974 | viol=  0 | 12.3s
  Ep 167: -- | cov=0.938 | viol=  0 | 33.1s
  Ep 168: -- | cov=0.691 | viol=  0 | 31.4s
  Ep 169: -- | cov=0.534 | viol=  0 | 32.0s
  Ep 170: -- | cov=0.944 | viol=  0 | 31.2s
  Ep 171: OK | cov=0.964 | viol=  0 | 15.9s
  Ep 172: -- | cov=0.921 | viol=  0 | 31.5s
  Ep 173: OK | cov=0.961 | viol=  0 | 13.8s
  Ep 174: -- | cov=0.909 | viol=  0 | 32.6s
  Ep 175: -- | cov=0.945 | viol=  0 | 30.9s
  Ep 176: -- | cov=0.933 | viol=  0 | 33.0s
  Ep 177: -- | cov=0.559 | viol=  0 | 32.4s
  Ep 178: OK | cov=0.972 | viol=  0 | 17.0s
  Ep 179: -- | cov=0.586 | viol=  0 | 32.5s
  Ep 180: OK | cov=0.954 | viol=  0 | 17.3s
  Ep 181: OK | cov=0.953 | viol=  0 | 31.7s
  Ep 182: OK | cov=0.969 | viol=  0 | 24.2s
  Ep 183: -- | cov=0.939 | viol=  0 | 31.3s
  Ep 184: OK | cov=0.954 | viol=  0 | 19.6s
  Ep 185: OK | cov=0.951 | viol=  0 | 18.1s
  Ep 186: -- | cov=0.943 | viol=  0 | 31.5s
  Ep 187: OK | cov=0.956 | viol=  0 | 24.8s
  Ep 188: OK | cov=0.956 | viol=  0 | 29.3s
  Ep 189: -- | cov=0.947 | viol=  0 | 32.1s
  Ep 190: -- | cov=0.627 | viol=  0 | 32.1s
  Ep 191: -- | cov=0.944 | viol=  0 | 32.6s
  Ep 192: OK | cov=0.961 | viol=  0 | 11.6s
  Ep 193: OK | cov=0.951 | viol=  0 | 29.2s
  Ep 194: OK | cov=0.954 | viol=  0 | 24.4s
  Ep 195: -- | cov=0.907 | viol=  0 | 31.0s
  Ep 196: -- | cov=0.583 | viol=  0 | 32.6s
  Ep 197: -- | cov=0.919 | viol=  0 | 34.8s
  Ep 198: OK | cov=0.960 | viol=  0 | 18.7s
  Ep 199: -- | cov=0.924 | viol=  0 | 33.7s
  Saved partial results (no_contract done)

==================================================
  with_contract (200 episodes)
==================================================
  Ep  0: -- | cov=0.922 | viol=  0 | 35.3s
  Ep  1: -- | cov=0.892 | viol=  8 | 34.2s
  Ep  2: OK | cov=0.952 | viol=  2 | 11.2s
  Ep  3: OK | cov=0.958 | viol=  8 | 18.2s
  Ep  4: OK | cov=0.951 | viol=  3 | 18.3s
  Ep  5: OK | cov=0.951 | viol=  5 | 23.5s
  Ep  6: -- | cov=0.919 | viol=  4 | 40.8s
  Ep  7: -- | cov=0.949 | viol=  6 | 42.0s
  Ep  8: OK | cov=0.952 | viol=  0 | 17.5s
  Ep  9: -- | cov=0.912 | viol=  1 | 36.2s
  Ep 10: OK | cov=0.955 | viol=  1 | 22.2s
  Ep 11: -- | cov=0.541 | viol=  0 | 34.1s
  Ep 12: OK | cov=0.955 | viol=  7 | 34.1s
  Ep 13: -- | cov=0.489 | viol=  1 | 36.3s
  Ep 14: OK | cov=0.967 | viol=  3 | 24.7s
  Ep 15: OK | cov=0.950 | viol=  1 | 31.0s
  Ep 16: OK | cov=0.973 | viol=  2 | 33.9s
  Ep 17: -- | cov=0.928 | viol=  0 | 39.0s
  Ep 18: OK | cov=0.966 | viol=  2 | 19.2s
  Ep 19: OK | cov=0.956 | viol=  3 | 12.4s
  Ep 20: -- | cov=0.479 | viol=  0 | 36.2s
